1980.1.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 39B","Jan Saenredam, After an engraving by Hendrik Goltzius",,Venus Resting with Cupid (after Hendrick Goltzius)
1980.30.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 1",Navajo,,"Weaving, c. 1915"
1980.30.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Navajo,,"Weaving, c. 1915"
1980.32.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Spanish,,"Embroidered Panel ( a la Fragonard), 18th century"
1980.32.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Spanish,,"Embroidered Panel ( a la Fragonard), 18th century"
1980.32.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Spanish,,"Embroidered Panel ( a la Fragonard), 18th century"
1980.32.4,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Spanish,,"Embroidered Panel ( a la Fragonard), 18th century"
1980.32.5,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Chinese,,"Embroidered Panel With Floral Motif, n.d."
1980.35.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515 - 1580 (attributed to)",,"Resurrection from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1980.35.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515 - 1580 (attributed to)",,"Pentecost from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1980.35.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515 - 1580 (attributed to)",,"Assumption of the Virgin from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1980.71.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 20A","Unknown, In the style of Giorgio de Chirico",,"The Silent Life of Fruit (vita silente di frutta), c. 1963"
1980.81.5,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 38A","Romare Bearden, Published by London Arts Group",,"In the Garden from American Portfolio, 1979 (published 1980)"
1980.98.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 48A",Richard Smith,,"K. Magenta, 1971"
1980.98.4,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 48A",Richard Smith,,"C. Grey, 1971"
1981.14.6,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Navajo,,"Saddle blanket, 20th century"
1981.14.9,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Navajo,,"Ganado style Weaving, 20th century"
1981.14.10,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Navajo,,"Germantown Weaving, c. 1900"
